ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208,Fe 238.204,Fe 259.941,Fe,Al 167.078,MPI
BL-N A-1,North,-5.045833333,119.3291667,A,Sediment,1.238,6.576,0.812,7.329,15.786,59.286,0.106,17.739,10015.5,9998.5,15014.8,NA,10.2782183408825
BL-N A-2,North,-5.045833333,119.3291667,A,Sediment,2.104,14.027,3.931,18.369,35.336,84.006,0.133,32.592,29365,29433.5,44081.75,NA,22.0030629003104
BL-N A-3,North,-5.045833333,119.3291667,A,Sediment,2.104,8.082,1.003,10.405,31.718,76.554,0.175,59.356,5656,5773,8542.5,NA,14.9909750956461
BL-N B-1,North,-5.045694444,119.3290972,B,Sediment,2.79,7.754,0.615,9.385,21.342,62.663,0.125,12.158,2197.5,2230.5,3312.8,NA,9.80905996641796
BL-N B-2,North,-5.045694444,119.3290972,B,Sediment,1.881,6.029,0.571,5.918,19.157,41.491,0.133,15.203,2772.5,2743,4144,NA,8.59217325931967
BL-N B-3,North,-5.045694444,119.3290972,B,Sediment,2.763,8.108,0.787,8.649,17.101,36.593,0.142,11.358,6985.5,6825.5,10398.3,NA,10.5363325913588
BL-N B-1 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.25,0.721,0.558,1.388,74.176,57.857,0.082,1.919,220,217,328.5,99,4.45305198875237
BL-N B-2 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.2,0.371,0.506,1.571,9.078,36.457,0.058,1.792,166,166,249,72.91,2.86170864713908
BL-N B-3 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.368,0.873,0.436,1.037,11.301,68.967,0.107,3.097,305,311,460.5,192,4.48821999743582
BL-N B-4 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.262,0.856,0.529,1.751,10.089,69.279,0.366,5.627,400,404,602,179.93,5.63692774261458
BL-N B-5 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.218,0.675,0.303,1.162,7.476,55.703,0.073,2.848,377,370,562,138,3.5821479146072
BL-N B-6 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.262,0.776,0.461,1.301,7.99,55.155,0.07,2.593,340,338,509,139,3.83610604454694
BL-N B-1 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.102,0.484,0.603,4.199,26.51,58.532,0.269,4.003,232,232,348,85.56,4.7793624835359
BL-N B-2 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.081,0.68,0.891,4.194,10.191,53.277,0.062,2.476,261,257,389.5,79,3.73467961231335
