ID,Direction,Latitude,Longitude,Station,Material,Ca 422.673,Fe 238.204,Fe 259.941,K 766.491,Mg 285.213,Na 589.592,P 177.495,Al 167.078,Sr 407.771,Sr 421.552,S 182.034
BL-N A-1,North,-5.045833333,119.3291667,A,Sediment,382200.5,10015.5,9998.5,NA,9582.5,5370,NA,NA,5810,5716.5,1968
BL-N A-2,North,-5.045833333,119.3291667,A,Sediment,350962.5,29365,29433.5,NA,9623.5,5777,NA,NA,5681,5469.5,2713
BL-N A-3,North,-5.045833333,119.3291667,A,Sediment,364664,5656,5773,NA,9378,5604,NA,NA,5484,5553,2251
BL-N B-1,North,-5.045694444,119.3290972,B,Sediment,374671,2197.5,2230.5,NA,10128,6248,NA,NA,5735.5,5539.5,2794.5
BL-N B-2,North,-5.045694444,119.3290972,B,Sediment,385301.5,2772.5,2743,NA,10271,7280,NA,NA,6037.5,5874,3366
BL-N B-3,North,-5.045694444,119.3290972,B,Sediment,380723,6985.5,6825.5,NA,10860,6430,NA,NA,5665.5,5460.5,3021.5
BL-N B-1 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,14980,220,217,2434,9951,15773,NA,99,NA,NA,NA
BL-N B-2 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,15954,166,166,3729,9342,13954,NA,72.91,NA,NA,NA
BL-N B-3 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,16936,305,311,3833,10016,16785,NA,192,NA,NA,NA
BL-N B-4 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,18522,400,404,2995,10680,12770,NA,179.93,NA,NA,NA
BL-N B-5 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,17549,377,370,3405,10196,15986,NA,138,NA,NA,NA
BL-N B-6 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,17057,340,338,3266,10186,17643,NA,139,NA,NA,NA
BL-N B-1 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,22678,232,232,1741,9949,9207,NA,85.56,NA,NA,NA
BL-N B-2 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,22676,261,257,1782,10035,11214,NA,79,NA,NA,NA
BL-N B-3 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,23170,267,267,2166,9534,11935,14893,91.38,NA,NA,NA
BL-N B-4 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,22044,292,293,2643,9998,10917,NA,104,NA,NA,NA
BL-N B-5 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,23138,245,246,2824,10028,12387,NA,91.74,NA,NA,NA
BL-N B-6 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,21220,206,206,1743,9210,10667,NA,67,NA,NA,NA
BL-N C-3,North,-5.045555556,119.3290278,C,Sediment,370581,849,856,NA,10655,6508,NA,NA,5820,5660,2316
BL-N 1-1,North,-5.045416667,119.32875,D,Sediment,373099,779,777,NA,10456,7393,NA,NA,5833,5759,2248
BL-N 1-2,North,-5.045416667,119.32875,D,Sediment,371131,791,786,NA,9725,8398,NA,NA,6118,6021,2383
BL-N 1-1 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,16354,175,176,1903,9486,10704,13502,145.75,NA,NA,NA
BL-N 1-2 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,16238,173,178,2798,8968,10980,16387,138.04,NA,NA,NA
BL-N 1-3 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,17802,171,174,2346,9415,9121,11497,137.79,NA,NA,NA
BL-N 1-4 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,15335,141,143,2666,8728,11225,19820,72.75,NA,NA,NA
BL-N 1-5 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,13895,128,130,2971,7933,13667,14179,95.75,NA,NA,NA
BL-N 1-6 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,19666,159,159,3099,10145,13297,13374,113.98,NA,NA,NA
BL-N 1-1 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,23427,153,157,1527,10063,4696,13108,73.94,NA,NA,NA
BL-N 1-2 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,23174,126,128,2048,9637,8365,14860,63.95,NA,NA,NA
BL-N 1-3 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,24034,157,157,1709,9083,6675,14150,80.5,NA,NA,NA
BL-N 1-4 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,21344,91,95,1876,9196,8751,14211,44.58,NA,NA,NA
BL-N 1-5 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,21486,156,154,1867,9144,6761,14910,77.37,NA,NA,NA
BL-N 1-6 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,21867,147,146,1926,9773,7526,15556,79.76,NA,NA,NA
BL-N 2-1,North,-5.044444444,119.3277778,E,Sediment,377841,501.5,512,NA,11118,7547,NA,NA,6046,5940,2371.5
BL-N 2-2,North,-5.044444444,119.3277778,E,Sediment,381884,475,474.5,NA,10975.5,6773,NA,NA,5815,5729,2244
BL-N 2-3,North,-5.044444444,119.3277778,E,Sediment,370841,430,435,NA,10664,7077.5,NA,NA,5724,5528,2162
