ID,Direction,Latitude,Longitude,Station,Material,Li7,Cr52,Co59,Ni60,Cu65,Zn66,Cd111,Pb208
BL-N A-1,North,-5.045833333,119.3291667,A,Sediment,1.238,6.576,0.812,7.329,15.786,59.286,0.106,17.739
BL-N A-2,North,-5.045833333,119.3291667,A,Sediment,2.104,14.027,3.931,18.369,35.336,84.006,0.133,32.592
BL-N A-3,North,-5.045833333,119.3291667,A,Sediment,2.104,8.082,1.003,10.405,31.718,76.554,0.175,59.356
BL-N B-1,North,-5.045694444,119.3290972,B,Sediment,2.79,7.754,0.615,9.385,21.342,62.663,0.125,12.158
BL-N B-2,North,-5.045694444,119.3290972,B,Sediment,1.881,6.029,0.571,5.918,19.157,41.491,0.133,15.203
BL-N B-3,North,-5.045694444,119.3290972,B,Sediment,2.763,8.108,0.787,8.649,17.101,36.593,0.142,11.358
BL-N B-1 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.25,0.721,0.558,1.388,74.176,57.857,0.082,1.919
BL-N B-2 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.2,0.371,0.506,1.571,9.078,36.457,0.058,1.792
BL-N B-3 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.368,0.873,0.436,1.037,11.301,68.967,0.107,3.097
BL-N B-4 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.262,0.856,0.529,1.751,10.089,69.279,0.366,5.627
BL-N B-5 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.218,0.675,0.303,1.162,7.476,55.703,0.073,2.848
BL-N B-6 EA,North,-5.045694444,119.3290972,B,Enhalus acoroides,0.262,0.776,0.461,1.301,7.99,55.155,0.07,2.593
BL-N B-1 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.102,0.484,0.603,4.199,26.51,58.532,0.269,4.003
BL-N B-2 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.081,0.68,0.891,4.194,10.191,53.277,0.062,2.476
BL-N B-3 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.072,0.441,0.967,4.358,8.619,51.29,0.06,2.441
BL-N B-4 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.118,0.686,0.626,3.301,10.236,56.376,0.072,3.175
BL-N B-5 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.13,0.528,0.608,3.704,9.16,47.663,0.4,5.1
BL-N B-6 TH,North,-5.045694444,119.3290972,B,Thalassia hemprichii,0.095,0.493,0.536,3.027,7.515,33.23,0.047,2.065
BL-N C-3,North,-5.045555556,119.3290278,C,Sediment,1.479,4.967,0.436,8.109,5.196,11.169,0.082,4.599
BL-N 1-1,North,-5.045416667,119.32875,D,Sediment,1.53,4.939,0.343,8.384,2.6,4.305,0.095,2.703
BL-N 1-2,North,-5.045416667,119.32875,D,Sediment,2.645,6.626,0.4,8.902,3.822,5.821,0.108,2.297
BL-N 1-1 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,0.195,0.522,0.222,0.951,5.395,36.811,0.312,0.75
BL-N 1-2 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,0.037,0.125,0.094,0.761,1.11,8.261,0.089,0.064
BL-N 1-3 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,0.163,0.526,0.308,1.208,4.257,32.186,0.118,0.636
BL-N 1-4 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,0.155,0.694,0.315,1.491,4.416,33.772,0.063,0.599
BL-N 1-5 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,0.19,0.33,0.208,1.088,4.373,35.328,0.118,0.577
BL-N 1-6 EA,North,-5.045416667,119.32875,D,Enhalus acoroides,0.182,0.43,0.293,1.15,4.446,39.152,0.119,0.723
BL-N 1-1 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,0.079,0.544,0.52,4.854,7.587,57.789,1040.722,0.762
BL-N 1-2 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,967.315,0.657,0.374,2.819,8.305,49.244,0.198,0.596
BL-N 1-3 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,0.102,0.601,0.411,4.085,6.724,38.144,0.311,0.716
BL-N 1-4 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,0.03,0.218,0.193,1.319,2.286,16.451,0.114,0.247
BL-N 1-5 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,0.087,0.475,0.386,3.2,6.583,57.909,0.124,0.799
BL-N 1-6 TH,North,-5.045416667,119.32875,D,Thalassia hemprichii,0.092,0.441,0.443,3.443,5.662,64.495,0.135,0.778
BL-N 2-1,North,-5.044444444,119.3277778,E,Sediment,1.788,4.559,0.289,7.335,0.818,0.982,0.08,0.707
BL-N 2-2,North,-5.044444444,119.3277778,E,Sediment,1.506,4.073,0.268,7.019,0.749,0.88,0.074,0.927
BL-N 2-3,North,-5.044444444,119.3277778,E,Sediment,1.444,3.671,0.283,6.355,0.81,0.945,0.082,0.759
BL-N 2-1 EA,North,-5.044444444,119.3277778,E,Enhalus acoroides,0.112,2.032,0.137,1.326,2.512,58.893,0.314,0.332
